,Unnamed: 0,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
3462,3631,2021,SE,CT,Staff Data Scientist,105000,US,100,US,M
3750,183,2020,EX,FT,Staff Data Analyst,15000,NG,0,CA,M
1576,856,2023,SE,FL,Software Data Engineer,50000,NG,50,AU,M
1374,732,2023,MI,FT,Software Data Engineer,75020,SG,100,SG,L
130,1312,2023,SE,FT,Research Scientist,200000,US,0,US,M
1444,718,2023,SE,FT,Research Scientist,141288,US,0,US,M
1358,748,2023,EN,FT,Research Scientist,100000,US,0,US,M
1359,747,2023,EN,FT,Research Scientist,150000,US,0,US,M
2468,3064,2022,EX,FT,Research Scientist,84053,NL,0,NL,L
238,970,2023,MI,FT,Research Scientist,125000,US,0,US,M
239,969,2023,MI,FT,Research Scientist,185000,US,0,US,M
1443,719,2023,SE,FT,Research Scientist,94192,US,0,US,M
245,963,2023,SE,FT,Research Scientist,150000,US,0,US,M
2940,1969,2022,SE,FT,Research Scientist,149850,US,0,US,M
913,301,2023,SE,FT,Research Scientist,136000,US,0,US,M
246,962,2023,SE,FT,Research Scientist,200000,US,0,US,M
251,957,2023,SE,FT,Research Scientist,200000,US,0,US,M
1488,846,2023,MI,FT,Research Scientist,150000,US,100,US,M
3567,3693,2021,MI,FT,Research Scientist,56738,FR,50,FR,S
2941,1968,2022,SE,FT,Research Scientist,249500,US,0,US,M
801,1560,2023,SE,FT,Research Scientist,210000,US,0,US,M
3573,3701,2021,SE,FT,Research Scientist,50000,FR,100,US,S
914,300,2023,SE,FT,Research Scientist,210000,US,0,US,M
898,1311,2023,SE,FT,Research Scientist,370000,US,0,US,M
619,1706,2023,SE,FT,Research Scientist,210000,US,0,US,M
3508,3608,2021,MI,FT,Research Scientist,63810,CA,100,CA,M
662,1748,2023,SE,FT,Research Scientist,150000,US,0,US,M
3457,3653,2021,SE,FT,Research Scientist,96113,CA,50,CA,L
814,1561,2023,SE,FT,Research Scientist,151800,US,0,US,M
659,1751,2023,SE,FT,Research Scientist,250000,US,0,US,M
658,1752,2023,SE,FT,Research Scientist,200000,US,0,US,M
155,1331,2023,SE,FT,Research Scientist,248100,CA,0,CA,M
454,1671,2023,SE,FT,Research Scientist,150000,US,0,US,M
2892,1386,2022,MI,FT,Research Scientist,23000,IN,100,IN,L
190,1250,2023,SE,FT,Research Scientist,169200,ES,0,ES,M
191,1249,2023,SE,FT,Research Scientist,253750,ES,0,ES,M
192,1248,2023,SE,FT,Research Scientist,169200,ES,0,ES,M
3484,3590,2021,SE,FT,Research Scientist,60757,PT,50,PT,L
151,1348,2023,MI,FT,Research Scientist,85000,US,0,US,M
3498,3621,2021,EN,FT,Research Scientist,100000,JE,0,CN,L
644,1707,2023,SE,FT,Research Scientist,165750,US,0,US,M
193,1247,2023,SE,FT,Research Scientist,253750,ES,0,ES,M
150,1349,2023,MI,FT,Research Scientist,70000,US,0,US,M
3432,2332,2022,SE,FT,Research Scientist,196000,US,100,US,M
2340,3459,2022,MI,FT,Research Scientist,61989,AT,0,AT,L
2344,3461,2022,EN,FT,Research Scientist,120000,US,100,US,L
1236,113,2023,EN,FT,Research Scientist,220000,US,50,US,L
991,279,2023,SE,FT,Research Scientist,110000,US,100,US,M
992,278,2023,SE,FT,Research Scientist,130000,US,100,US,M
3414,2331,2022,SE,FT,Research Scientist,300000,US,100,US,M
2965,1985,2022,SE,FT,Research Scientist,210000,US,100,US,M
539,1642,2023,SE,FT,Research Scientist,145000,US,0,US,M
540,1641,2023,SE,FT,Research Scientist,180000,US,0,US,M
565,1790,2023,SE,FT,Research Scientist,248100,US,0,US,M
3728,3522,2020,MI,FT,Research Scientist,450000,US,0,US,M
1963,2948,2022,MI,FT,Research Scientist,145000,US,50,US,L
3741,3606,2020,EN,FT,Research Scientist,42000,NL,50,NL,L
1634,514,2023,SE,FT,Research Scientist,150000,US,0,US,M
1648,485,2023,MI,FT,Research Scientist,151800,US,100,US,M
1074,367,2023,MI,FT,Research Scientist,195895,GB,0,GB,M
2975,1986,2022,SE,FT,Research Scientist,150000,US,100,US,M
1660,484,2023,MI,FT,Research Scientist,210000,US,100,US,M
1662,513,2023,SE,FT,Research Scientist,200000,US,0,US,M
166,1332,2023,SE,FT,Research Scientist,145900,CA,0,CA,M
1073,368,2023,MI,FT,Research Scientist,102772,GB,0,GB,M
3677,3570,2021,MI,FT,Research Scientist,187442,CA,100,CA,L
1595,525,2023,SE,FT,Research Scientist,250000,US,0,US,M
589,1791,2023,SE,FT,Research Scientist,145900,US,0,US,M
2339,3482,2022,SE,FT,Research Scientist,144000,US,50,US,L
3593,3507,2021,MI,FT,Research Scientist,62649,FR,50,FR,M
1489,845,2023,MI,FT,Research Scientist,340000,US,100,US,M
1506,885,2023,EN,FT,Research Scientist,100000,US,0,US,M
1508,884,2023,EN,FT,Research Scientist,150000,US,0,US,M
2312,3447,2022,SE,FT,Research Scientist,89306,FR,50,FR,L
1555,835,2023,SE,FT,Research Scientist,146300,US,0,US,M
1556,834,2023,SE,FT,Research Scientist,215000,US,0,US,M
1571,819,2023,MI,FT,Research Scientist,125000,US,100,US,M
3628,3457,2021,MI,FT,Research Scientist,69999,CZ,50,CZ,L
280,956,2023,SE,FT,Research Scientist,250000,US,0,US,M
1572,818,2023,MI,FT,Research Scientist,185000,US,100,US,M
453,1672,2023,SE,FT,Research Scientist,120000,US,0,US,M
3645,3544,2021,EN,FT,Research Scientist,82528,GB,50,GB,L
2009,2686,2022,MI,FT,Research Scientist,126080,DE,0,DE,S
2008,2687,2022,MI,FT,Research Scientist,84053,DE,0,DE,S
1594,526,2023,SE,FT,Research Scientist,200000,US,0,US,M
663,1747,2023,SE,FT,Research Scientist,200000,US,0,US,M
164,1334,2023,SE,FT,Research Engineer,102544,US,0,US,M
3083,2500,2022,MI,FT,Research Engineer,240000,US,100,US,M
1157,111,2023,SE,FT,Research Engineer,203000,US,0,US,M
2948,1961,2022,SE,FT,Research Engineer,149850,US,0,US,M
959,255,2023,SE,FT,Research Engineer,185000,US,0,US,M
960,254,2023,SE,FT,Research Engineer,293000,US,0,US,M
2949,1960,2022,SE,FT,Research Engineer,249500,US,0,US,M
1021,420,2023,EN,FT,Research Engineer,125000,US,0,US,M
1036,405,2023,EN,FT,Research Engineer,155000,US,0,US,M
1022,419,2023,EN,FT,Research Engineer,155000,US,0,US,M
1156,112,2023,SE,FT,Research Engineer,133000,US,0,US,M
165,1333,2023,SE,FT,Research Engineer,155850,US,0,US,M
2768,2186,2022,SE,FT,Research Engineer,150000,US,0,US,M
1035,406,2023,EN,FT,Research Engineer,125000,US,0,US,M
7,1208,2023,EN,FT,Research Engineer,60000,GB,100,GB,M
8,1207,2023,EN,FT,Research Engineer,120000,GB,100,GB,M
1633,515,2023,EN,FT,Research Engineer,160000,US,0,US,M
1632,516,2023,EN,FT,Research Engineer,120000,US,0,US,M
351,1086,2023,SE,FT,Research Engineer,148000,US,0,US,M
353,1085,2023,SE,FT,Research Engineer,230000,US,0,US,M
1575,672,2023,SE,FT,Research Engineer,175000,US,0,US,M
622,1729,2023,MI,FT,Research Engineer,100000,US,100,US,M
623,1728,2023,MI,FT,Research Engineer,120000,US,100,US,M
1464,671,2023,SE,FT,Research Engineer,200000,US,0,US,M
2754,2185,2022,SE,FT,Research Engineer,250000,US,0,US,M
414,1023,2023,SE,FT,Research Engineer,85847,DE,100,DE,S
415,1022,2023,SE,FT,Research Engineer,107309,DE,100,DE,S
1182,56,2023,SE,FT,Research Engineer,189110,US,0,US,M
1243,196,2023,MI,FT,Research Engineer,230000,US,0,US,M
648,1750,2023,EN,FT,Research Engineer,120000,US,0,US,M
654,1756,2023,SE,FT,Research Engineer,100000,US,0,US,M
655,1755,2023,SE,FT,Research Engineer,150000,US,0,US,M
1242,197,2023,MI,FT,Research Engineer,200000,US,0,US,M
660,1749,2023,EN,FT,Research Engineer,160000,US,0,US,M
1188,21,2023,SE,FT,Research Engineer,275000,DE,0,DE,M
1187,22,2023,SE,FT,Research Engineer,174000,DE,0,DE,M
1181,57,2023,SE,FT,Research Engineer,139000,US,0,US,M
3155,2589,2022,SE,FT,Product Data Scientist,8000,IN,100,SG,L
3746,3689,2020,MI,FT,Product Data Analyst,6072,IN,100,IN,L
1787,2938,2022,MI,FT,Product Data Analyst,140000,US,100,US,M
3680,3455,2020,MI,FT,Product Data Analyst,20000,HN,0,HN,S
181,1260,2023,MI,FT,Product Data Analyst,16414,IN,100,IN,L
2936,1892,2022,EN,FT,Product Data Analyst,100000,US,100,US,M
